31-03-2026 18:52:36 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:52:36 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:52:40 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:52:40 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:53:57 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:54:18 | GET | cafeteria_api/categorias/6
31-03-2026 18:57:18 | GET | cafeteria_api/categorias
31-03-2026 18:57:26 | GET | cafeteria_api/categorias
31-03-2026 18:57:28 | OPTIONS | cafeteria_api/categorias/6
31-03-2026 18:57:45 | POST | cafeteria_api/categorias
31-03-2026 18:57:45 | GET | cafeteria_api/categorias
31-03-2026 19:02:14 | GET | cafeteria_api/categorias
31-03-2026 19:02:22 | OPTIONS | cafeteria_api/categorias/7
31-03-2026 19:05:05 | OPTIONS | cafeteria_api/categorias/7
31-03-2026 19:05:05 | DELETE | cafeteria_api/categorias/7
31-03-2026 19:05:05 | GET | cafeteria_api/categorias
31-03-2026 19:22:28 | GET | cafeteria_api/produtos
31-03-2026 19:22:31 | GET | cafeteria_api/categorias
31-03-2026 19:22:32 | GET | cafeteria_api/produtos
31-03-2026 19:23:07 | GET | cafeteria_api/produtos
31-03-2026 19:23:08 | GET | cafeteria_api/categorias
31-03-2026 19:23:09 | GET | cafeteria_api/produtos
31-03-2026 19:23:12 | GET | cafeteria_api/categorias
31-03-2026 19:23:13 | GET | cafeteria_api/produtos
31-03-2026 19:23:18 | GET | cafeteria_api/categorias
31-03-2026 19:23:19 | GET | cafeteria_api/produtos
31-03-2026 19:23:49 | GET | cafeteria_api/produtos
31-03-2026 19:24:17 | GET | cafeteria_api/produtos
31-03-2026 19:25:27 | GET | cafeteria_api/produtos
31-03-2026 19:25:31 | GET | cafeteria_api/produtos
31-03-2026 19:25:38 | GET | cafeteria_api/produtos
31-03-2026 19:28:04 | GET | cafeteria_api/produtos
31-03-2026 19:28:05 | GET | cafeteria_api/produtos
31-03-2026 19:33:36 | GET | cafeteria_api/produtos
31-03-2026 19:33:39 | GET | cafeteria_api/produtos
31-03-2026 19:38:27 | GET | cafeteria_api/produtos
31-03-2026 19:39:47 | GET | cafeteria_api/produtos
31-03-2026 19:39:48 | GET | cafeteria_api/produtos
31-03-2026 19:39:49 | GET | cafeteria_api/categorias
31-03-2026 19:40:30 | GET | cafeteria_api/categorias
31-03-2026 19:40:45 | GET | cafeteria_api/produtos
31-03-2026 19:40:46 | GET | cafeteria_api/categorias
31-03-2026 19:41:22 | GET | cafeteria_api/categorias
31-03-2026 19:41:40 | GET | cafeteria_api/categorias
31-03-2026 19:41:41 | GET | cafeteria_api/categorias
31-03-2026 19:41:59 | GET | cafeteria_api/categorias
31-03-2026 19:42:10 | GET | cafeteria_api/categorias
31-03-2026 19:44:43 | GET | cafeteria_api/produtos
31-03-2026 19:44:45 | GET | cafeteria_api/categorias
31-03-2026 19:45:01 | GET | cafeteria_api/categorias
31-03-2026 19:45:44 | GET | cafeteria_api/categorias
31-03-2026 19:45:50 | GET | cafeteria_api/categorias
31-03-2026 19:45:55 | GET | cafeteria_api/produtos
31-03-2026 19:45:56 | GET | cafeteria_api/categorias
31-03-2026 19:47:41 | GET | cafeteria_api/categorias
31-03-2026 19:47:42 | GET | cafeteria_api/produtos
31-03-2026 19:47:44 | GET | cafeteria_api/produtos
31-03-2026 19:48:32 | GET | cafeteria_api/produtos
31-03-2026 19:48:32 | GET | cafeteria_api/produtos
31-03-2026 19:48:32 | GET | cafeteria_api/produtos
31-03-2026 19:48:55 | GET | cafeteria_api/categorias
31-03-2026 19:48:58 | GET | cafeteria_api/produtos
31-03-2026 19:49:04 | GET | cafeteria_api/categorias
31-03-2026 19:49:10 | GET | cafeteria_api/categorias
31-03-2026 19:49:13 | GET | cafeteria_api/produtos
31-03-2026 19:49:50 | GET | cafeteria_api/produtos
31-03-2026 19:50:09 | GET | cafeteria_api/categorias
31-03-2026 19:50:11 | GET | cafeteria_api/produtos
31-03-2026 19:50:26 | GET | cafeteria_api/categorias
31-03-2026 19:50:27 | GET | cafeteria_api/produtos
31-03-2026 19:54:06 | GET | cafeteria_api/produtos
31-03-2026 19:54:30 | GET | cafeteria_api/produtos
31-03-2026 19:55:49 | POST | cafeteria_api/produtos
31-03-2026 19:55:54 | POST | cafeteria_api/produtos
31-03-2026 19:56:08 | POST | cafeteria_api/produtos
31-03-2026 19:56:21 | POST | cafeteria_api/produtos
31-03-2026 19:59:35 | POST | cafeteria_api/produtos
31-03-2026 20:02:19 | POST | cafeteria_api/produtos
31-03-2026 20:02:28 | GET | cafeteria_api/produtos
31-03-2026 20:05:58 | GET | cafeteria_api/produtos
31-03-2026 20:06:30 | GET | cafeteria_api/produtos
31-03-2026 20:07:10 | POST | cafeteria_api/categorias
31-03-2026 20:07:10 | GET | cafeteria_api/produtos
31-03-2026 20:07:21 | GET | cafeteria_api/categorias
31-03-2026 20:07:25 | GET | cafeteria_api/produtos
31-03-2026 20:07:31 | GET | cafeteria_api/categorias
31-03-2026 20:08:26 | GET | cafeteria_api/categorias
31-03-2026 20:08:29 | OPTIONS | cafeteria_api/categorias/8
31-03-2026 20:08:29 | DELETE | cafeteria_api/categorias/8
31-03-2026 20:08:29 | GET | cafeteria_api/categorias
31-03-2026 20:08:30 | GET | cafeteria_api/produtos
31-03-2026 20:08:42 | GET | cafeteria_api/produtos
31-03-2026 20:09:02 | POST | cafeteria_api/produtos
31-03-2026 20:09:03 | GET | cafeteria_api/produtos
31-03-2026 20:09:17 | GET | cafeteria_api/categorias
31-03-2026 20:09:18 | GET | cafeteria_api/produtos
31-03-2026 20:11:49 | GET | cafeteria_api/produtos
31-03-2026 20:11:59 | GET | cafeteria_api/produtos
31-03-2026 20:13:26 | GET | cafeteria_api/produtos
31-03-2026 20:13:29 | OPTIONS | cafeteria_api/produtos/2
31-03-2026 20:13:29 | DELETE | cafeteria_api/produtos/2
31-03-2026 20:13:29 | GET | cafeteria_api/produtos
31-03-2026 20:15:00 | POST | cafeteria_api/produtos
31-03-2026 20:15:00 | GET | cafeteria_api/produtos
31-03-2026 20:16:58 | GET | cafeteria_api/produtos
31-03-2026 20:16:58 | GET | cafeteria_api/produtos
31-03-2026 20:20:20 | GET | cafeteria_api/categorias
31-03-2026 20:20:57 | GET | cafeteria_api/produtos
31-03-2026 20:20:58 | GET | cafeteria_api/categorias
31-03-2026 20:21:26 | GET | cafeteria_api/produtos
31-03-2026 20:21:28 | GET | cafeteria_api/categorias
31-03-2026 20:21:28 | GET | cafeteria_api/produtos
31-03-2026 20:22:04 | GET | cafeteria_api/categorias
31-03-2026 20:22:07 | GET | cafeteria_api/produtos
31-03-2026 20:22:37 | POST | cafeteria_api/produtos
31-03-2026 20:22:37 | GET | cafeteria_api/produtos
31-03-2026 20:41:15 | GET | cafeteria_api/categorias
31-03-2026 20:41:56 | GET | cafeteria_api/categorias
31-03-2026 20:41:56 | GET | cafeteria_api/categorias
