2026-04-10 16:14:32 | GET | meus-planos-api/categorias
2026-04-10 16:14:35 | GET | meus-planos-api/categorias
2026-04-10 16:14:35 | GET | meus-planos-api/itens
2026-04-10 16:15:14 | GET | meus-planos-api/itens
rias
2026-04-10 16:17:46 | GET | meus-planos-api/categorias
2026-04-10 16:17:46 | GET | meus-planos-api/itens
2026-04-10 16:18:23 | GET | meus-planos-api/itens
2026-04-10 16:18:46 | GET | meus-planos-api/categorias
2026-04-10 16:18:46 | GET | meus-planos-api/itens
2026-04-10 16:22:54 | POST | meus-planos-api/itens
2026-04-10 16:23:00 | GET | meus-planos-api/categorias
2026-04-10 16:23:00 | GET | meus-planos-api/itens
2026-04-10 16:23:53 | GET | meus-planos-api/itens
rias
2026-04-10 16:29:02 | GET | meus-planos-api/categorias
2026-04-10 16:29:05 | OPTIONS | meus-planos-api/categorias/9
2026-04-10 16:29:05 | DELETE | meus-planos-api/categorias/9
2026-04-10 16:29:08 | GET | meus-planos-api/categorias
2026-04-10 16:29:53 | GET | meus-planos-api/categorias
2026-04-10 16:30:02 | POST | meus-planos-api/categorias
2026-04-10 16:30:02 | GET | meus-planos-api/categorias
2026-04-10 16:30:03 | OPTIONS | meus-planos-api/categorias/11
2026-04-10 16:30:03 | DELETE | meus-planos-api/categorias/11
2026-04-10 16:30:04 | GET | meus-planos-api/categorias
2026-04-10 16:30:09 | POST | meus-planos-api/categorias
2026-04-10 16:30:09 | GET | meus-planos-api/categorias
2026-04-10 16:30:25 | GET | meus-planos-api/categorias
2026-04-10 16:32:43 | GET | meus-planos-api/categorias
2026-04-10 16:32:59 | GET | meus-planos-api/categorias
2026-04-10 16:32:59 | GET | meus-planos-api/itens
2026-04-10 16:34:21 | GET | meus-planos-api/itens
rias
2026-04-10 16:36:37 | GET | meus-planos-api/categorias
2026-04-10 16:36:37 | GET | meus-planos-api/itens
2026-04-10 16:37:09 | POST | meus-planos-api/itens
2026-04-10 16:37:09 | GET | meus-planos-api/itens
2026-04-10 16:37:40 | GET | meus-planos-api/categorias
2026-04-10 16:37:40 | GET | meus-planos-api/itens
2026-04-10 16:37:59 | GET | meus-planos-api/categorias
2026-04-10 16:37:59 | GET | meus-planos-api/itens
2026-04-10 16:40:07 | GET | meus-planos-api/categorias
2026-04-10 16:40:07 | GET | meus-planos-api/itens
2026-04-10 16:40:14 | GET | meus-planos-api/categorias
2026-04-10 16:42:46 | GET | meus-planos-api/categorias
2026-04-10 16:42:47 | GET | meus-planos-api/itens
rias
2026-04-10 16:42:58 | GET | meus-planos-api/categorias
2026-04-10 16:42:58 | GET | meus-planos-api/itens
2026-04-10 16:42:59 | GET | meus-planos-api/itens
rias
2026-04-10 16:43:59 | GET | meus-planos-api/categorias
2026-04-10 16:44:00 | GET | meus-planos-api/itens
2026-04-10 16:44:00 | GET | meus-planos-api/categorias
2026-04-10 16:44:06 | GET | meus-planos-api/categorias
2026-04-10 16:44:11 | POST | meus-planos-api/categorias
2026-04-10 16:44:11 | GET | meus-planos-api/categorias
2026-04-10 16:44:12 | GET | meus-planos-api/categorias
2026-04-10 16:44:41 | POST | meus-planos-api/itens
2026-04-10 16:44:41 | GET | meus-planos-api/itens
2026-04-10 16:44:52 | GET | meus-planos-api/categorias
2026-04-10 16:44:52 | GET | meus-planos-api/categorias
2026-04-10 16:44:52 | GET | meus-planos-api/itens
2026-04-10 16:44:55 | GET | meus-planos-api/itens
rias
2026-04-10 16:54:20 | GET | meus-planos-api/categorias
2026-04-10 16:54:20 | GET | meus-planos-api/itens
2026-04-10 16:54:37 | GET | meus-planos-api/categorias
2026-04-10 16:54:41 | GET | meus-planos-api/categorias
2026-04-10 16:54:41 | GET | meus-planos-api/itens
2026-04-10 16:57:17 | GET | meus-planos-api/categorias
2026-04-10 16:57:17 | GET | meus-planos-api/itens
2026-04-10 16:58:48 | GET | meus-planos-api/categorias
2026-04-10 16:58:48 | GET | meus-planos-api/itens
2026-04-10 17:05:40 | GET | meus-planos-api/categorias
2026-04-10 17:05:43 | GET | meus-planos-api/categorias
2026-04-10 17:06:11 | GET | meus-planos-api/categorias
2026-04-10 17:06:11 | GET | meus-planos-api/itens
2026-04-10 17:10:52 | GET | meus-planos-api/categorias
2026-04-10 17:10:52 | GET | meus-planos-api/itens
2026-04-10 17:13:51 | GET | meus-planos-api/categorias
2026-04-10 17:13:51 | GET | meus-planos-api/itens
2026-04-10 17:17:09 | GET | meus-planos-api/categorias
2026-04-10 17:17:09 | GET | meus-planos-api/itens
2026-04-10 17:17:51 | GET | meus-planos-api/categorias
2026-04-10 17:17:51 | GET | meus-planos-api/itens
2026-04-10 17:19:07 | GET | meus-planos-api/itens
rias
2026-04-10 17:19:21 | GET | meus-planos-api/categorias
2026-04-10 17:19:21 | GET | meus-planos-api/itens
2026-04-10 17:19:43 | GET | meus-planos-api/categorias
2026-04-10 17:19:43 | GET | meus-planos-api/itens
2026-04-10 17:19:48 | GET | meus-planos-api/categorias
2026-04-10 17:19:48 | GET | meus-planos-api/itens
2026-04-10 17:25:37 | GET | meus-planos-api/categorias
2026-04-10 17:26:53 | GET | meus-planos-api/categorias
2026-04-10 17:26:53 | GET | meus-planos-api/itens
2026-04-10 17:27:32 | GET | meus-planos-api/categorias
2026-04-10 17:27:32 | GET | meus-planos-api/itens
2026-04-10 17:27:35 | GET | meus-planos-api/itens
rias
2026-04-10 17:27:44 | GET | meus-planos-api/categorias
2026-04-10 17:27:44 | GET | meus-planos-api/itens
2026-04-10 17:28:27 | GET | meus-planos-api/categorias
2026-04-10 17:28:27 | GET | meus-planos-api/itens
2026-04-10 17:30:39 | GET | meus-planos-api/categorias
2026-04-10 17:30:39 | GET | meus-planos-api/itens
2026-04-10 17:31:28 | GET | meus-planos-api/categorias
2026-04-10 17:31:28 | GET | meus-planos-api/itens
2026-04-10 17:34:03 | GET | meus-planos-api/categorias
2026-04-10 17:34:05 | OPTIONS | meus-planos-api/itens/4
2026-04-10 17:34:05 | PUT | meus-planos-api/itens/4
2026-04-10 17:34:06 | PUT | meus-planos-api/itens/4
2026-04-10 17:34:09 | PUT | meus-planos-api/itens/4
2026-04-10 17:34:19 | GET | meus-planos-api/categorias
2026-04-10 17:34:42 | POST | meus-planos-api/categorias
2026-04-10 17:34:42 | GET | meus-planos-api/categorias
2026-04-10 17:34:44 | OPTIONS | meus-planos-api/categorias/14
2026-04-10 17:34:44 | DELETE | meus-planos-api/categorias/14
2026-04-10 17:34:47 | GET | meus-planos-api/categorias
2026-04-10 17:34:55 | GET | meus-planos-api/categorias
2026-04-10 17:34:55 | GET | meus-planos-api/itens
2026-04-10 17:35:13 | POST | meus-planos-api/itens
2026-04-10 17:35:13 | GET | meus-planos-api/itens
2026-04-10 17:35:27 | OPTIONS | meus-planos-api/itens/5
2026-04-10 17:35:27 | DELETE | meus-planos-api/itens/5
2026-04-10 17:35:28 | GET | meus-planos-api/itens
2026-04-10 18:31:54 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:31:54 | PUT | meus-planos-api/itens/4
2026-04-10 18:31:54 | PUT | meus-planos-api/itens/4
2026-04-10 18:33:24 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:33:24 | PUT | meus-planos-api/itens/4
2026-04-10 18:33:25 | PUT | meus-planos-api/itens/4
2026-04-10 18:35:58 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:35:59 | PUT | meus-planos-api/itens/4
2026-04-10 18:36:00 | PUT | meus-planos-api/itens/4
2026-04-10 18:36:50 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:36:50 | PUT | meus-planos-api/itens/4
2026-04-10 18:36:51 | PUT | meus-planos-api/itens/4
2026-04-10 18:37:06 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:37:06 | PUT | meus-planos-api/itens/4
2026-04-10 18:37:06 | PUT | meus-planos-api/itens/4
2026-04-10 18:37:56 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:37:56 | PUT | meus-planos-api/itens/4
2026-04-10 18:37:57 | PUT | meus-planos-api/itens/4
2026-04-10 18:37:58 | PUT | meus-planos-api/itens/4
2026-04-10 18:38:24 | GET | meus-planos-api/categorias
2026-04-10 18:38:24 | GET | meus-planos-api/itens
2026-04-10 18:38:26 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:38:26 | PUT | meus-planos-api/itens/4
2026-04-10 18:38:26 | PUT | meus-planos-api/itens/4
2026-04-10 18:38:37 | GET | meus-planos-api/categorias
2026-04-10 18:38:37 | GET | meus-planos-api/itens
2026-04-10 18:38:44 | GET | meus-planos-api/categorias
2026-04-10 18:38:44 | GET | meus-planos-api/itens
2026-04-10 18:38:45 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:38:45 | PUT | meus-planos-api/itens/4
2026-04-10 18:38:46 | PUT | meus-planos-api/itens/4
2026-04-10 18:38:46 | OPTIONS | meus-planos-api/itens/3
2026-04-10 18:38:46 | PUT | meus-planos-api/itens/3
2026-04-10 18:38:47 | PUT | meus-planos-api/itens/3
2026-04-10 18:38:50 | PUT | meus-planos-api/itens/4
2026-04-10 18:38:56 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:38:56 | PUT | meus-planos-api/itens/4
2026-04-10 18:41:20 | GET | meus-planos-api/categorias
2026-04-10 18:41:23 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:41:23 | PUT | meus-planos-api/itens/4
2026-04-10 18:41:24 | PUT | meus-planos-api/itens/4
2026-04-10 18:41:27 | GET | meus-planos-api/categorias
2026-04-10 18:41:27 | GET | meus-planos-api/itens
2026-04-10 18:41:30 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:41:30 | PUT | meus-planos-api/itens/4
2026-04-10 18:41:30 | PUT | meus-planos-api/itens/4
2026-04-10 18:47:43 | GET | meus-planos-api/itens
rias
2026-04-10 18:48:04 | GET | meus-planos-api/categorias
2026-04-10 18:48:04 | GET | meus-planos-api/itens
2026-04-10 18:48:07 | GET | meus-planos-api/categorias
2026-04-10 18:48:19 | POST | meus-planos-api/categorias
2026-04-10 18:48:19 | GET | meus-planos-api/categorias
2026-04-10 18:48:22 | GET | meus-planos-api/categorias
2026-04-10 18:48:22 | GET | meus-planos-api/itens
2026-04-10 18:49:01 | GET | meus-planos-api/categorias
2026-04-10 18:49:01 | GET | meus-planos-api/itens
2026-04-10 18:49:16 | GET | meus-planos-api/categorias
2026-04-10 18:49:18 | GET | meus-planos-api/itens
rias
2026-04-10 18:49:20 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:49:20 | PUT | meus-planos-api/itens/4
2026-04-10 18:49:21 | PUT | meus-planos-api/itens/4
2026-04-10 18:52:27 | GET | meus-planos-api/categorias
2026-04-10 18:52:27 | GET | meus-planos-api/itens
2026-04-10 18:54:03 | GET | meus-planos-api/categorias
2026-04-10 18:54:03 | GET | meus-planos-api/itens
2026-04-10 18:56:12 | OPTIONS | meus-planos-api/itens/4
2026-04-10 18:56:12 | PUT | meus-planos-api/itens/4
2026-04-10 18:56:12 | PUT | meus-planos-api/itens/4
2026-04-10 18:56:16 | PUT | meus-planos-api/itens/4
2026-04-10 18:56:18 | OPTIONS | meus-planos-api/itens/2
2026-04-10 18:56:18 | PUT | meus-planos-api/itens/2
2026-04-10 18:56:21 | PUT | meus-planos-api/itens/2
